cycle	parti	parS^l	part	park	pik	
0	-0.01	-0.01	-0.01	-0.01	-0.01	
1	-0.01	-0.01	-0.01	-0.01	-0.01	
2	-0.01	-0.01	-0.01	-0.01	-0.01	
3	-0.01	-0.01	-0.01	-0.01	-0.01	
4	-0.01	-0.01	-0.01	-0.01	-0.01	
5	-0.01	-0.01	-0.01	-0.01	-0.01	
6	-0.01	-0.01	-0.01	-0.01	-0.01	
7	-0.008337756925779146	-0.008337756925779146	-0.008337756925779146	-0.008337756925779146	-0.008337756925779146	
8	-0.0019141032104520493	-0.0019141032104520493	-0.0019141032104520493	-0.0019141032104520493	-0.0019141032104520493	
9	0.008788660137391668	0.008788660137391668	0.008788660137391668	0.008788660137391668	0.008788660137391668	
10	0.020992095267671762	0.02091040824968322	0.021117729519771346	0.021117729519771346	0.021301587195555083	
11	0.03094376950102859	0.03044138972765388	0.031738697244090674	0.031738697244090674	0.03297271799550827	
12	0.03689086892628197	0.03552758948127946	0.03905873702647996	0.03905873702647996	0.04248463096606747	
13	0.04173075248112419	0.039386732186444694	0.04548459939333989	0.04548459939333989	0.051508983219330055	
14	0.047726269493997525	0.04436479364679467	0.05315294327280543	0.05315294327280543	0.059890345864236215	
15	0.05520257315353388	0.050775137465705375	0.062398798113242275	0.062398798113242275	0.06761061795181071	
16	0.06355019829980238	0.05798666136063246	0.07263737350577712	0.07263737350577712	0.07413406933419697	
17	0.0721358260653788	0.06535894626063518	0.08322705225447287	0.08322705225447287	0.07932206224614599	
18	0.08062929662250641	0.07256930317984567	0.09381821396097502	0.09381821396097502	0.08230007808560982	
19	0.08976195616471226	0.0803562230406951	0.10511697470864395	0.10511697470864395	0.08272035402865252	
20	0.1000341933399365	0.08921417928693805	0.11763494947047227	0.11763494947047227	0.080060459772633	
21	0.11133122162717565	0.09901496675802518	0.13128456455191156	0.13128456455191156	0.07488575478908374	
22	0.1234797263160255	0.10959671815080603	0.1458866363279495	0.1458866363279495	0.0683940802809398	
23	0.1357854106894891	0.12027390924100782	0.16074796646009418	0.16074796646009418	0.060617497931473814	
24	0.14768447182494646	0.1304797431973726	0.17531330268061038	0.17531330268061038	0.05168199435769218	
25	0.1600527359872534	0.13977191607182515	0.19044092785561836	0.18917648374640036	0.04187072063598439	
26	0.17400577400952655	0.14732043756658017	0.2072235796802165	0.20174180127682909	0.03126785647921698	
27	0.18964197905244745	0.1521483731545712	0.22575350779411724	0.21315941476400538	0.019890175710033535	
28	0.20559754203282884	0.15334383881872843	0.24472470625597853	0.22227926675243212	0.007818166480657428	
29	0.22132646958782767	0.1507628831755756	0.26358944347885965	0.22900984235309613	-0.004533463646025871	
30	0.23629241645786342	0.14431365476954158	0.281824108827631	0.2329162760075102	-0.01	
31	0.2503766215841192	0.13532254749692083	0.2993076372049133	0.23395032618208708	-0.01	
32	0.2647102248072001	0.1247812028445545	0.31603512073727713	0.23220808514458588	-0.01	
33	0.2806723611395384	0.11282414869418357	0.3318770683787408	0.22758051487788208	-0.01	
34	0.29811307845569224	0.09968007705374642	0.3465065686556969	0.21979053609897017	-0.01	
35	0.31651226859254633	0.08551106716585906	0.3597753210934945	0.2087255859615137	-0.01	
36	0.3353444087778777	0.07032926127030444	0.3716588534587716	0.19555081106724678	-0.01	
37	0.35412686354874545	0.05423592054014949	0.38213266059489737	0.1806337561693491	-0.01	
38	0.37252809510423146	0.037458628163757224	0.39117756782212865	0.16435744190102214	-0.01	
39	0.39032896774723846	0.020289572143595017	0.3987733721482065	0.14697317001265714	-0.01	
40	0.4074502500687627	0.0031653148113582673	0.4049648188262706	0.1287943401862287	-0.01	
41	0.4238720884465176	-0.01	0.409829247492164	0.11016032922827851	-0.01	
42	0.4396220031448389	-0.01	0.4134669581984708	0.09142010075426076	-0.01	
43	0.4548118577949405	-0.01	0.41603295260615053	0.07292439288814243	-0.01	
44	0.46953146911838867	-0.01	0.4176546182540122	0.05495307816469917	-0.01	
45	0.48390687087792295	-0.01	0.41849977688811557	0.03775578741733574	-0.01	
46	0.4980197035730194	-0.01	0.41869499239431357	0.021496841987273408	-0.01	
47	0.5119133262020763	-0.01	0.418331542631015	0.006270241223597303	-0.01	
48	0.5256079031240145	-0.01	0.41749211284267024	-0.007874097397533374	-0.01	
49	0.5391350781387575	-0.01	0.4162762364216565	-0.01	-0.01	
50	0.5525249092182166	-0.01	0.4148002016845435	-0.01	-0.01	
51	0.565726336753441	-0.01	0.413093257682957	-0.01	-0.01	
52	0.5786435511120328	-0.01	0.41112993268053283	-0.01	-0.01	
53	0.5911897958968351	-0.01	0.4088826602995908	-0.01	-0.01	
54	0.6032863954494888	-0.01	0.40632008525694235	-0.01	-0.01	
55	0.6149118278122284	-0.01	0.40347957004304374	-0.01	-0.01	
56	0.6259845234991127	-0.01	0.40030174237842236	-0.01	-0.01	
57	0.6364285046747588	-0.01	0.3967109277248936	-0.01	-0.01	
58	0.6462009568856955	-0.01	0.3926557607262161	-0.01	-0.01	
59	0.655279437873865	-0.01	0.3880952442808647	-0.01	-0.01	
60	0.663655889928899	-0.01	0.3829926985584065	-0.01	-0.01	
61	0.6713304678344679	-0.01	0.37730685520514184	-0.01	-0.01	
62	0.678313370091592	-0.01	0.37099608286397184	-0.01	-0.01	
63	0.6846273912831954	-0.01	0.3640255960733557	-0.01	-0.01	
64	0.6903047319030878	-0.01	0.35636623264502787	-0.01	-0.01	
65	0.6953828152766641	-0.01	0.3479918406865376	-0.01	-0.01	
66	0.6999050086488032	-0.01	0.3388826650998659	-0.01	-0.01	
67	0.7039410613778967	-0.01	0.32906485585726836	-0.01	-0.01	
68	0.7075584466432131	-0.01	0.3185701944302701	-0.01	-0.01	
69	0.7108101644252532	-0.01	0.30741439254970115	-0.01	-0.01	
70	0.7137390601995985	-0.01	0.29560283262376225	-0.01	-0.01	
71	0.7163804008216643	-0.01	0.283134037867421	-0.01	-0.01	
72	0.7187635315083885	-0.01	0.2700020502611398	-0.01	-0.01	
73	0.7209128995093177	-0.01	0.25619799525086256	-0.01	-0.01	
74	0.7228486945282374	-0.01	0.24200801273050607	-0.01	-0.01	
75	0.7245780257166975	-0.01	0.22755282647992797	-0.01	-0.01	
76	0.7261086976243537	-0.01	0.21291728267404678	-0.01	-0.01	
77	0.727449444952109	-0.01	0.1981904344726284	-0.01	-0.01	
78	0.7286610322082341	-0.01	0.18355656465809386	-0.01	-0.01	
79	0.7297283735435589	-0.01	0.16906237278715758	-0.01	-0.01	
80	0.7306408174437795	-0.01	0.1547554679759733	-0.01	-0.01	
81	0.7313923291386584	-0.01	0.14068419531042506	-0.01	-0.01	
82	0.7319795011153698	-0.01	0.12689395939435497	-0.01	-0.01	
83	0.7324011381910968	-0.01	0.11342623248242047	-0.01	-0.01	
84	0.7326580074370996	-0.01	0.10031799762769131	-0.01	-0.01	
85	0.7327542556802836	-0.01	0.08760390672882842	-0.01	-0.01	
86	0.7326963164035156	-0.01	0.07531486853548301	-0.01	-0.01	
87	0.7324891392102815	-0.01	0.06347445656288048	-0.01	-0.01	
88	0.7321387658740818	-0.01	0.05210040235561541	-0.01	-0.01	
89	0.7316520757886167	-0.01	0.04120496061501065	-0.01	-0.01	
90	0.7310363062735803	-0.01	0.0307951226011851	-0.01	-0.01	
91	0.7302989337633383	-0.01	0.020873193471267603	-0.01	-0.01	
92	0.7294474309763069	-0.01	0.011437216154126848	-0.01	-0.01	
93	0.7285210476882952	-0.01	0.0025182577929679156	-0.01	-0.01	
94	0.7275389126220134	-0.01	-0.005881128830922456	-0.01	-0.01	
95	0.7264994081062882	-0.01	-0.01	-0.01	-0.01	
96	0.7254104019895181	-0.01	-0.01	-0.01	-0.01	
97	0.7242793537444481	-0.01	-0.01	-0.01	-0.01	
98	0.7231122803653616	-0.01	-0.01	-0.01	-0.01	
99	0.7219139992343739	-0.01	-0.01	-0.01	-0.01	
100	0.720688331983908	-0.01	-0.01	-0.01	-0.01	
101	0.7194489364796949	-0.01	-0.01	-0.01	-0.01	
102	0.7182369595019398	-0.01	-0.01	-0.01	-0.01	
103	0.7170423752554802	-0.01	-0.01	-0.01	-0.01	
104	0.7158566182963788	-0.01	-0.01	-0.01	-0.01	
105	0.7146725894714046	-0.01	-0.01	-0.01	-0.01	
106	0.7135071231509001	-0.01	-0.01	-0.01	-0.01	
107	0.7123817770952763	-0.01	-0.01	-0.01	-0.01	
108	0.7112812484821214	-0.01	-0.01	-0.01	-0.01	
109	0.710193628670955	-0.01	-0.01	-0.01	-0.01	
110	0.7091096480746893	-0.01	-0.01	-0.01	-0.01	
111	0.7080221312747482	-0.01	-0.01	-0.01	-0.01	
112	0.706925570551925	-0.01	-0.01	-0.01	-0.01	
113	0.7058157811433748	-0.01	-0.01	-0.01	-0.01	
114	0.7046896327312645	-0.01	-0.01	-0.01	-0.01	
115	0.7035448893239294	-0.01	-0.01	-0.01	-0.01	
116	0.7023799201509632	-0.01	-0.01	-0.01	-0.01	
117	0.7011936174377272	-0.01	-0.01	-0.01	-0.01	
118	0.6999854545738301	-0.01	-0.01	-0.01	-0.01	
119	0.6987552366592306	-0.01	-0.01	-0.01	-0.01	
120	0.697502931739033	-0.01	-0.01	-0.01	-0.01	
121	0.6962287010407274	-0.01	-0.01	-0.01	-0.01	
122	0.6949327428435552	-0.01	-0.01	-0.01	-0.01	
123	0.6936152766514385	-0.01	-0.01	-0.01	-0.01	
124	0.6922765310466331	-0.01	-0.01	-0.01	-0.01	
125	0.6909167344516224	-0.01	-0.01	-0.01	-0.01	
126	0.6895361081838148	-0.01	-0.01	-0.01	-0.01	
127	0.6881348613129248	-0.01	-0.01	-0.01	-0.01	
128	0.6867131869309114	-0.01	-0.01	-0.01	-0.01	
129	0.6852712595241524	-0.01	-0.01	-0.01	-0.01	
130	0.6838092332012079	-0.01	-0.01	-0.01	-0.01	
131	0.6823272405803523	-0.01	-0.01	-0.01	-0.01	
132	0.6808253921815929	-0.01	-0.01	-0.01	-0.01	
133	0.6793037762002506	-0.01	-0.01	-0.01	-0.01	
134	0.6777627068713445	-0.01	-0.01	-0.01	-0.01	
135	0.6762028289982903	-0.01	-0.01	-0.01	-0.01	
136	0.6746247835862527	-0.01	-0.01	-0.01	-0.01	
137	0.6730290396801162	-0.01	-0.01	-0.01	-0.01	
138	0.6714159258691322	-0.01	-0.01	-0.01	-0.01	
139	0.6697856558782461	-0.01	-0.01	-0.01	-0.01	
140	0.6681383493548868	-0.01	-0.01	-0.01	-0.01	
141	0.6664740487497806	-0.01	-0.01	-0.01	-0.01	
142	0.6647927420106808	-0.01	-0.01	-0.01	-0.01	
143	0.6630943662781159	-0.01	-0.01	-0.01	-0.01	
144	0.6613788130499191	-0.01	-0.01	-0.01	-0.01	
145	0.6596459358982295	-0.01	-0.01	-0.01	-0.01	
146	0.6578955567119995	-0.01	-0.01	-0.01	-0.01	
147	0.6561274707362005	-0.01	-0.01	-0.01	-0.01	
148	0.654341450628413	-0.01	-0.01	-0.01	-0.01	
149	0.6525372497124584	-0.01	-0.01	-0.01	-0.01	
150	0.6507146045753787	-0.01	-0.01	-0.01	-0.01	
151	0.6488732371269459	-0.01	-0.01	-0.01	-0.01	
152	0.6470128644256377	-0.01	-0.01	-0.01	-0.01	
153	0.645133414166281	-0.01	-0.01	-0.01	-0.01	
154	0.6432354279764158	-0.01	-0.01	-0.01	-0.01	
155	0.6413193027717204	-0.01	-0.01	-0.01	-0.01	
156	0.639385313399798	-0.01	-0.01	-0.01	-0.01	
157	0.6374336314240423	-0.01	-0.01	-0.01	-0.01	
158	0.6354643407091908	-0.01	-0.01	-0.01	-0.01	
159	0.6334774503539291	-0.01	-0.01	-0.01	-0.01	
160	0.6314729144134611	-0.01	-0.01	-0.01	-0.01	
161	0.6294506337708686	-0.01	-0.01	-0.01	-0.01	
162	0.627410485827533	-0.01	-0.01	-0.01	-0.01	
163	0.6253523024044814	-0.01	-0.01	-0.01	-0.01	
164	0.6232758960383293	-0.01	-0.01	-0.01	-0.01	
165	0.6211810453643236	-0.01	-0.01	-0.01	-0.01	
166	0.6190677490875595	-0.01	-0.01	-0.01	-0.01	
167	0.616936007802305	-0.01	-0.01	-0.01	-0.01	
168	0.6148202565445011	-0.01	-0.01	-0.01	-0.01	
169	0.6127198909782026	-0.01	-0.01	-0.01	-0.01	
170	0.6106287650096585	-0.01	-0.01	-0.01	-0.01	
171	0.6085415805662184	-0.01	-0.01	-0.01	-0.01	
172	0.6064537521388104	-0.01	-0.01	-0.01	-0.01	
173	0.6043612985600405	-0.01	-0.01	-0.01	-0.01	
174	0.602260751107784	-0.01	-0.01	-0.01	-0.01	
175	0.6001491003185848	-0.01	-0.01	-0.01	-0.01	
176	0.5980237714558517	-0.01	-0.01	-0.01	-0.01	
177	0.595882507342199	-0.01	-0.01	-0.01	-0.01	
178	0.5937233179288766	-0.01	-0.01	-0.01	-0.01	
179	0.5915444375645023	-0.01	-0.01	-0.01	-0.01	

